norec,mean_SI,std_SI,week_count,min_SI,max_SI,deviation_from_overall,uniformity
2031,0.9077,0.114,17,0.645,1.0,0.07513379406307963,0.909756373094043
2032,0.9037,0.1391,17,0.5759,1.0,0.07113379406307963,0.9145607958191987
2033,0.9259,0.1316,16,0.6118,1.0,0.09333379406307962,0.8878962496945846
2037,0.8826,0.1465,16,0.6119,1.0,0.05003379406307973,0.9399041256943949
2038,0.8882,0.1441,17,0.622,1.0,0.05563379406307967,0.9331779338791769
2039,0.8634,0.1696,17,0.5496,1.0,0.030833794063079623,0.9629653547751423
2045,0.8696,0.1621,17,0.5381,1.0,0.03703379406307972,0.9555184995511509
2046,0.6872,0.2137,16,0.43,0.9966,0.1453662059369203,0.8253998241817492
2051,0.8739,0.1325,17,0.6555,1.0,0.04133379406307969,0.9503537451216085
2055,0.8902,0.1281,16,0.6487,1.0,0.05763379406307967,0.9307757225165991
2056,0.8921,0.1335,17,0.6469,1.0,0.05953379406307968,0.9284936217221501
2057,0.8962,0.1298,16,0.6018,1.0,0.06363379406307967,0.9235690884288655
2061,0.9058,0.1242,16,0.6317,1.0,0.07323379406307973,0.9120384738884918
2063,0.8855,0.1441,16,0.5585,1.0,0.05293379406307963,0.9364209192186571
2064,0.7884,0.1674,17,0.5636,1.0,0.04416620593692033,0.9469517191281883
2065,0.7816,0.1557,16,0.6158,1.0,0.05096620593692036,0.9387842004954237
2066,0.7831,0.1536,16,0.6126,1.0,0.049466205936920304,0.940585859017357
2067,0.734,0.1834,17,0.4627,1.0,0.09856620593692034,0.8816115700660708
2068,0.8149,0.1485,16,0.6077,1.0,0.017666205936920365,0.9787810196823448
2077,0.8969,0.123,17,0.6594,1.0,0.06433379406307971,0.9227283144519632
2080,0.8924,0.1294,16,0.6088,1.0,0.05983379406307965,0.9281332900177635
2081,0.9072,0.1301,17,0.6129,1.0,0.07463379406307968,0.9103569259346873
2084,0.8973,0.1299,17,0.5774,1.0,0.06473379406307966,0.9222478721794477
2085,0.8641,0.1555,16,0.5946,1.0,0.031533794063079656,0.96212458079824
2088,0.9091,0.1258,17,0.6313,1.0,0.0765337940630797,0.9080748251402384
2089,0.8812,0.133,17,0.6148,1.0,0.04863379406307966,0.9415856736481995
2095,0.8135,0.155,16,0.5584,1.0,0.019066205936920322,0.9770994717285404
2096,0.8702,0.1455,16,0.627,1.0,0.03763379406307965,0.9547978361423777
2097,0.8465,0.141,16,0.6569,1.0,0.013933794063079707,0.983264040788925
2098,0.8564,0.1567,16,0.5948,1.0,0.023833794063079727,0.9713730945441647
2101,0.8394,0.1635,17,0.6079,1.0,0.006833794063079712,0.9917918911260765
2106,0.8833,0.139,17,0.6445,1.0,0.05073379406307965,0.9390633517174927
2107,0.8886,0.1434,17,0.5988,1.0,0.05603379406307962,0.9326974916066615
2110,0.795,0.1455,16,0.6433,1.0,0.03756620593692028,0.9548790166246953
2111,0.8079,0.1695,17,0.5089,1.0,0.02466620593692037,0.9703732799133223
2117,0.7686,0.1636,16,0.58,1.0,0.06396620593692037,0.9231698266386676
2118,0.8225,0.1605,17,0.5263,1.0,0.010066205936920314,0.9879094228601407
2119,0.8971,0.1259,16,0.6118,1.0,0.06453379406307969,0.9224880933157055
2120,0.8921,0.1387,17,0.5862,1.0,0.05953379406307968,0.9284936217221501
2121,0.8095,0.1588,16,0.534,1.0,0.023066205936920325,0.9722950490033847
2137,0.7507,0.2109,16,0.4037,1.0,0.08186620593692029,0.901670034943596
2139,0.7856,0.2305,17,0.4029,1.0,0.04696620593692036,0.9435886232205793
2141,0.7453,0.1848,17,0.5535,1.0,0.08726620593692036,0.8951840642646356
2142,0.8294,0.213,17,0.4915,1.0,0.0031662059369202966,0.9961970520610343
2143,0.7271,0.2511,17,0.3835,1.0,0.10546620593692035,0.8733239408651772
2145,0.9372,0.1212,16,0.6284,1.0,0.10463379406307971,0.8743237554960196
2146,0.7859,0.2114,16,0.4356,1.0,0.04666620593692028,0.9439489549249661
2149,0.9012,0.1231,17,0.6481,1.0,0.06863379406307968,0.9175635600224209
2150,0.7966,0.1623,16,0.5642,1.0,0.03596620593692035,0.9568007857147575
2151,0.7913,0.155,17,0.5994,1.0,0.04126620593692032,0.9504349256039263
2152,0.8153,0.1486,16,0.6234,1.0,0.017266205936920298,0.9792614619548604
2153,0.8108,0.153,16,0.6159,1.0,0.021766205936920358,0.9738564863890602
2154,0.835,0.1455,17,0.6071,1.0,0.0024337940630796417,0.9970767561237478
2155,0.7822,0.169,17,0.5913,1.0,0.050366205936920316,0.9395048639041971
2156,0.7666,0.162,17,0.5962,1.0,0.06596620593692037,0.9207676152760897
2157,0.7996,0.1445,16,0.6408,1.0,0.032966205936920345,0.9604041027586243
2158,0.8122,0.1955,17,0.5108,1.0,0.02036620593692029,0.9755380343428648
2159,0.8679,0.1409,17,0.5475,1.0,0.03533379406307968,0.9575603792093421
2160,0.8909,0.1424,16,0.6006,1.0,0.0583337940630797,0.9299349485396968
2161,0.8807,0.1377,17,0.6452,1.0,0.048133794063079716,0.9421862264888439
2162,0.8609,0.148,16,0.6408,1.0,0.028333794063079676,0.9659681189783645
2163,0.9045,0.1611,16,0.526,1.0,0.07193379406307965,0.9135999112741675
2164,0.8349,0.1702,16,0.595,1.0,0.0023337940630796528,0.9971968666918767
2165,0.8127,0.1804,16,0.5614,1.0,0.019866205936920345,0.9761385871835092
2166,0.8208,0.1626,17,0.5637,1.0,0.011766205936920349,0.9858675432019495
2167,0.8194,0.1785,16,0.5536,1.0,0.013166205936920305,0.9841859952481451
2168,0.8117,0.2008,17,0.5253,1.0,0.020866205936920346,0.9749374815022203
2169,0.8796,0.1375,17,0.6325,1.0,0.047033794063079726,0.9435074427382616
